alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
1.6670359829850657e-05,9.9998332964017012e-01,1.3685436190128573e+03,1.1601588875845825e+00
1.7976571777038041e-05,9.9998202342822295e-01,1.3685418329137419e+03,1.1504589621402344e+00
1.9331954284137475e-05,9.9998066804571584e-01,1.3685399795793710e+03,1.1406467739875839e+00
2.0736493974071736e-05,9.9997926350602595e-01,1.3685380590280367e+03,1.1307390578770915e+00
2.2190176984600020e-05,9.9997780982301543e-01,1.3685360712786940e+03,1.1207518224605773e+00
2.3692988968458395e-05,9.9997630701103157e-01,1.3685340163509611e+03,1.1107003296560589e+00
2.5244915093499133e-05,9.9997475508490652e-01,1.3685318942651195e+03,1.1005990813242563e+00
2.6845940042838359e-05,9.9997315405995713e-01,1.3685297050421127e+03,1.0904618125961407e+00
2.8496048015005383e-05,9.9997150395198497e-01,1.3685274487035483e+03,1.0803014911830064e+00
3.0195222724101469e-05,9.9996980477727593e-01,1.3685251252716953e+03,1.0701303220052982e+00
3.1943447399958026e-05,9.9996805655260002e-01,1.3685227347694845e+03,1.0599597564920826e+00
3.3740704788303157e-05,9.9996625929521166e-01,1.3685202772205096e+03,1.0498005059271602e+00
3.5586977150931507e-05,9.9996441302284911e-01,1.3685177526490254e+03,1.0396625582488701e+00
3.7482246265881370e-05,9.9996251775373413e-01,1.3685151610799485e+03,1.0295551977465676e+00
3.9426493427610625e-05,9.9996057350657241e-01,1.3685125025388568e+03,1.0194870271362788e+00
4.1419699447185491e-05,9.9995858030055285e-01,1.3685097770519890e+03,1.0094659915394579e+00
4.3461844652467052e-05,9.9995653815534757e-01,1.3685069846462443e+03,9.9949940393144188e-01
4.5552908888306651e-05,9.9995444709111170e-01,1.3685041253491827e+03,9.8959397166853225e-01
4.7692871516744063e-05,9.9995230712848326e-01,1.3685011991890244e+03,9.7975582374442638e-01
4.9881711417212316e-05,9.9995011828858282e-01,1.3684982061946494e+03,9.6999053846690264e-01
5.2119406986745331e-05,9.9994788059301321e-01,1.3684951463955972e+03,9.6030317128408638e-01
5.4405936140191073e-05,9.9994559406385986e-01,1.3684920198220673e+03,9.5069828252568811e-01
5.6741276310429687e-05,9.9994325872368961e-01,1.3684888265049171e+03,9.4117996485827948e-01
5.9125404448597267e-05,9.9994087459555137e-01,1.3684855664756633e+03,9.3175187028468609e-01
6.1558297024311148e-05,9.9993844170297574e-01,1.3684822397664818e+03,9.2241723654597052e-01
6.4039930025904245e-05,9.9993596006997409e-01,1.3684788464102053e+03,9.1317891281013019e-01
6.6570278960659810e-05,9.9993342972103938e-01,1.3684753864403249e+03,9.0403938455479771e-01
6.9149318855055706e-05,9.9993085068114496e-01,1.3684718598909892e+03,8.9500079757176054e-01
7.1777024255009758e-05,9.9992822297574502e-01,1.3684682667970039e+03,8.8606498103938769e-01
7.4453369226130668e-05,9.9992554663077382e-01,1.3684646071938312e+03,8.7723346962497983e-01
7.7178327353973341e-05,9.9992282167264601e-01,1.3684608811175904e+03,8.6850752459296632e-01
7.9951871744301522e-05,9.9992004812825575e-01,1.3684570886050556e+03,8.5988815390684470e-01
8.2773975023351379e-05,9.9991722602497668e-01,1.3684532296936579e+03,8.5137613132300094e-01
8.5644609338104139e-05,9.9991435539066187e-01,1.3684493044214828e+03,8.4297201448315684e-01
8.8563746356556391e-05,9.9991143625364343e-01,1.3684453128272714e+03,8.3467616201944950e-01
9.1531357268005438e-05,9.9990846864273197e-01,1.3684412549504193e+03,8.2648874969201258e-01
9.4547412783329573e-05,9.9990545258721664e-01,1.3684371308309760e+03,8.1840978558383459e-01
9.7611883135277917e-05,9.9990238811686472e-01,1.3684329405096448e+03,8.1043912438138910e-01
1.0072473807876570e-04,9.9989927526192124e-01,1.3684286840277825e+03,8.0257648077251331e-01
1.0388594689117125e-04,9.9989611405310885e-01,1.3684243614273987e+03,7.9482144199519877e-01
1.0709547837263967e-04,9.9989290452162738e-01,1.3684199727511559e+03,7.8717347957244888e-01
