alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
1.8983662101172199e-03,9.9810163378988281e-01,1.3659706098612332e+03,2.3043096647420874e-01
1.9107019345483290e-03,9.9808929806545166e-01,1.3659537421342579e+03,2.2971022338015987e-01
1.9230681491041424e-03,9.9807693185089585e-01,1.3659368327154386e+03,2.2899446233282331e-01
1.9354647317351170e-03,9.9806453526826489e-01,1.3659198817716644e+03,2.2828363493056916e-01
1.9478915600919871e-03,9.9805210843990799e-01,1.3659028894702342e+03,2.2757769338978101e-01
1.9603485115269725e-03,9.9803965148847307e-01,1.3658858559788557e+03,2.2687659053521045e-01
1.9728354630949925e-03,9.9802716453690499e-01,1.3658687814656414e+03,2.2618027979050800e-01
1.9853522915548759e-03,9.9801464770844517e-01,1.3658516660991111e+03,2.2548871516892730e-01
1.9978988733705795e-03,9.9800210112662946e-01,1.3658345100481858e+03,2.2480185126419838e-01
2.0104750847124053e-03,9.9798952491528758e-01,1.3658173134821889e+03,2.2411964324156705e-01
2.0230808014582249e-03,9.9797691919854181e-01,1.3658000765708439e+03,2.2344204682899590e-01
2.0357158991947035e-03,9.9796428410080529e-01,1.3657827994842717e+03,2.2276901830852533e-01
2.0483802532185271e-03,9.9795161974678148e-01,1.3657654823929906e+03,2.2210051450778934e-01
2.0610737385376343e-03,9.9793892626146241e-01,1.3657481254679135e+03,2.2143649279168481e-01
2.0737962298724489e-03,9.9792620377012753e-01,1.3657307288803454e+03,2.2077691105418942e-01
2.0865476016571193e-03,9.9791345239834284e-01,1.3657132928019839e+03,2.2012172771032634e-01
2.0993277280407529e-03,9.9790067227195922e-01,1.3656958174049164e+03,2.1947090168827230e-01
2.1121364828886619e-03,9.9788786351711134e-01,1.3656783028616178e+03,2.1882439242160606e-01
2.1249737397836073e-03,9.9787502626021640e-01,1.3656607493449496e+03,2.1818215984169473e-01
2.1378393720270449e-03,9.9786216062797295e-01,1.3656431570281582e+03,2.1754416437021448e-01
2.1507332526403810e-03,9.9784926674735963e-01,1.3656255260848720e+03,2.1691036691180368e-01
2.1636552543662173e-03,9.9783634474563376e-01,1.3656078566891019e+03,2.1628072884684574e-01
2.1766052496696147e-03,9.9782339475033044e-01,1.3655901490152373e+03,2.1565521202437846e-01
2.1895831107393471e-03,9.9781041688926064e-01,1.3655724032380460e+03,2.1503377875512755e-01
2.2025887094891650e-03,9.9779741129051081e-01,1.3655546195326717e+03,2.1441639180466257e-01
2.2156219175590596e-03,9.9778437808244091e-01,1.3655367980746321e+03,2.1380301438667176e-01
2.2286826063165296e-03,9.9777131739368352e-01,1.3655189390398184e+03,2.1319361015635405e-01
2.2417706468578491e-03,9.9775822935314218e-01,1.3655010426044914e+03,2.1258814320392597e-01
2.2548859100093412e-03,9.9774511408999067e-01,1.3654831089452821e+03,2.1198657804824078e-01
2.2680282663286545e-03,9.9773197173367134e-01,1.3654651382391880e+03,2.1138887963051761e-01
2.2811975861060374e-03,9.9771880241389399e-01,1.3654471306635735e+03,2.1079501330817915e-01
2.2943937393656213e-03,9.9770560626063443e-01,1.3654290863961655e+03,2.1020494484879487e-01
2.3076165958666995e-03,9.9769238340413335e-01,1.3654110056150539e+03,2.0961864042412828e-01
2.3208660251050174e-03,9.9767913397489494e-01,1.3653928884986883e+03,2.0903606660428564e-01
2.3341418963140569e-03,9.9766585810368591e-01,1.3653747352258779e+03,2.0845719035196492e-01
2.3474440784663291e-03,9.9765255592153368e-01,1.3653565459757879e+03,2.0788197901680239e-01
2.3607724402746675e-03,9.9763922755972534e-01,1.3653383209279384e+03,2.0731040032981510e-01
2.3741268501935213e-03,9.9762587314980644e-01,1.3653200602622044e+03,2.0674242239793750e-01
2.3875071764202557e-03,9.9761249282357978e-01,1.3653017641588103e+03,2.0617801369865074e-01
2.4009132868964530e-03,9.9759908671310360e-01,1.3652834327983314e+03,2.0561714307470175e-01
2.4143450493092139e-03,9.9758565495069074e-01,1.3652650663616912e+03,2.0505977972891146e-01
2.4278023310924679e-03,9.9757219766890748e-01,1.3652466650301587e+03,2.0450589321907012e-01
2.4412849994282755e-03,9.9755871500057169e-01,1.3652282289853481e+03,2.0395545345291788e-01
2.4547929212481441e-03,9.9754520707875183e-01,1.3652097584092148e+03,2.0340843068320921e-01
2.4683259632343382e-03,9.9753167403676568e-01,1.3651912534840569e+03,2.0286479550285913e-01
2.4818839918211953e-03,9.9751811600817886e-01,1.3651727143925098e+03,2.0232451884017058e-01
2.4954668731964505e-03,9.9750453312680354e-01,1.3651541413175476e+03,2.0178757195414007e-01
2.5090744733025461e-03,9.9749092552669749e-01,1.3651355344424783e+03,2.0125392642984183e-01
2.5227066578379620e-03,9.9747729334216206e-01,1.3651168939509446e+03,2.0072355417388721e-01
2.5363632922585423e-03,9.9746363670774141e-01,1.3650982200269204e+03,2.0019642740995905e-01
2.5500442417788170e-03,9.9744995575822115e-01,1.3650795128547104e+03,1.9967251867441943e-01
2.5637493713733389e-03,9.9743625062862662e-01,1.3650607726189460e+03,1.9915180081198888e-01
2.5774785457780103e-03,9.9742252145422194e-01,1.3650419995045863e+03,1.9863424697149668e-01
2.5912316294914241e-03,9.9740876837050862e-01,1.3650231936969146e+03,1.9811983060169966e-01
2.6050084867761947e-03,9.9739499151322386e-01,1.3650043553815360e+03,1.9760852544716948e-01
2.6188089816603045e-03,9.9738119101833966e-01,1.3649854847443771e+03,1.9710030554424635e-01
2.6326329779384396e-03,9.9736736702206152e-01,1.3649665819716840e+03,1.9659514521705790e-01
2.6464803391733371e-03,9.9735351966082664e-01,1.3649476472500189e+03,1.9609301907360294e-01
2.6603509286971332e-03,9.9733964907130290e-01,1.3649286807662606e+03,1.9559390200189716e-01
2.6742446096127089e-03,9.9732575539038726e-01,1.3649096827075996e+03,1.9509776916618179e-01
2.6881612447950416e-03,9.9731183875520490e-01,1.3648906532615399e+03,1.9460459600319208e-01
2.7021006968925608e-03,9.9729789930310742e-01,1.3648715926158941e+03,1.9411435821848605e-01
2.7160628283285034e-03,9.9728393717167152e-01,1.3648525009587831e+03,1.9362703178283103e-01
2.7300475013022664e-03,9.9726995249869776e-01,1.3648333784786339e+03,1.9314259292864844e-01
2.7440545777907745e-03,9.9725594542220919e-01,1.3648142253641774e+03,1.9266101814651426e-01
2.7580839195498375e-03,9.9724191608045021e-01,1.3647950418044479e+03,1.9218228418171510e-01
2.7721353881155174e-03,9.9722786461188451e-01,1.3647758279887785e+03,1.9170636803085869e-01
2.7862088448054917e-03,9.9721379115519448e-01,1.3647565841068022e+03,1.9123324693853797e-01
2.8003041507204240e-03,9.9719969584927959e-01,1.3647373103484481e+03,1.9076289839404678e-01
2.8144211667453351e-03,9.9718557883325465e-01,1.3647180069039409e+03,1.9029530012814785e-01
2.8285597535509764e-03,9.9717144024644899e-01,1.3646986739637973e+03,1.8983043010989101e-01
2.8427197715952045e-03,9.9715728022840477e-01,1.3646793117188258e+03,1.8936826654348080e-01
2.8569010811243579e-03,9.9714309891887565e-01,1.3646599203601240e+03,1.8890878786519316e-01
2.8711035421746366e-03,9.9712889645782532e-01,1.3646405000790769e+03,1.8845197274033981e-01
2.8853270145734839e-03,9.9711467298542655e-01,1.3646210510673548e+03,1.8799780006027977e-01
2.8995713579409678e-03,9.9710042864205906e-01,1.3646015735169110e+03,1.8754624893947680e-01
2.9138364316911732e-03,9.9708616356830881e-01,1.3645820676199817e+03,1.8709729871260225e-01
2.9281220950335787e-03,9.9707187790496643e-01,1.3645625335690822e+03,1.8665092893168306e-01
2.9424282069744558e-03,9.9705757179302557e-01,1.3645429715570056e+03,1.8620711936329234e-01
2.9567546263182544e-03,9.9704324537368172e-01,1.3645233817768208e+03,1.8576584998578427e-01
2.9711012116689999e-03,9.9702889878833101e-01,1.3645037644218712e+03,1.8532710098657007e-01
2.9854678214316865e-03,9.9701453217856828e-01,1.3644841196857724e+03,1.8489085275943631e-01
2.9998543138136761e-03,9.9700014568618633e-01,1.3644644477624099e+03,1.8445708590190363e-01
3.0142605468260974e-03,9.9698573945317392e-01,1.3644447488459373e+03,1.8402578121262536e-01
3.0286863782852448e-03,9.9697131362171476e-01,1.3644250231307753e+03,1.8359691968882608e-01
3.0431316658139874e-03,9.9695686833418606e-01,1.3644052708116089e+03,1.8317048252377782e-01
3.0575962668431688e-03,9.9694240373315679e-01,1.3643854920833849e+03,1.8274645110431564e-01
3.0720800386130169e-03,9.9692791996138697e-01,1.3643656871413120e+03,1.8232480700838929e-01
3.0865828381745511e-03,9.9691341716182547e-01,1.3643458561808568e+03,1.8190553200265230e-01
3.1011045223909945e-03,9.9689889547760902e-01,1.3643259993977426e+03,1.8148860804008701e-01
3.1156449479391867e-03,9.9688435505206086e-01,1.3643061169879481e+03,1.8107401725766473e-01
3.1302039713109980e-03,9.9686979602868897e-01,1.3642862091477045e+03,1.8066174197404122e-01
3.1447814488147451e-03,9.9685521855118531e-01,1.3642662760734945e+03,1.8025176468728585e-01
3.1593772365766095e-03,9.9684062276342345e-01,1.3642463179620490e+03,1.7984406807264519e-01
3.1739911905420606e-03,9.9682600880945793e-01,1.3642263350103469e+03,1.7943863498033880e-01
3.1886231664772714e-03,9.9681137683352272e-01,1.3642063274156114e+03,1.7903544843338806e-01
3.2032730199705460e-03,9.9679672698002941e-01,1.3641862953753098e+03,1.7863449162547704e-01
3.2179406064337464e-03,9.9678205939356623e-01,1.3641662390871506e+03,1.7823574791884428e-01
3.2326257811037141e-03,9.9676737421889627e-01,1.3641461587490801e+03,1.7783920084220628e-01
3.2473283990437050e-03,9.9675267160095626e-01,1.3641260545592843e+03,1.7744483408871028e-01
3.2620483151448157e-03,9.9673795168485524e-01,1.3641059267161829e+03,1.7705263151391801e-01
3.2767853841274151e-03,9.9672321461587254e-01,1.3640857754184294e+03,1.7666257713381811e-01
3.2915394605425828e-03,9.9670846053945739e-01,1.3640656008649094e+03,1.7627465512286739e-01
3.3063103987735426e-03,9.9669368960122651e-01,1.3640454032547375e+03,1.7588884981206099e-01
3.3210980530370966e-03,9.9667890194696296e-01,1.3640251827872560e+03,1.7550514568702991e-01
3.3359022773850667e-03,9.9666409772261488e-01,1.3640049396620323e+03,1.7512352738616652e-01
3.3507229257057360e-03,9.9664927707429429e-01,1.3639846740788585e+03,1.7474397969877625e-01
3.3655598517252877e-03,9.9663444014827474e-01,1.3639643862377470e+03,1.7436648756325693e-01
3.3804129090092526e-03,9.9661958709099074e-01,1.3639440763389314e+03,1.7399103606530308e-01
3.3952819509639534e-03,9.9660471804903605e-01,1.3639237445828619e+03,1.7361761043613669e-01
3.4101668308379458e-03,9.9658983316916205e-01,1.3639033911702045e+03,1.7324619605076316e-01
3.4250674017234769e-03,9.9657493259827656e-01,1.3638830163018392e+03,1.7287677842625146e-01
3.4399835165579251e-03,9.9656001648344206e-01,1.3638626201788579e+03,1.7250934322003955e-01
3.4549150281252628e-03,9.9654508497187477e-01,1.3638422030025624e+03,1.7214387622826299e-01
3.4698617890574963e-03,9.9653013821094250e-01,1.3638217649744611e+03,1.7178036338410829e-01
3.4848236518361300e-03,9.9651517634816389e-01,1.3638013062962698e+03,1.7141879075618818e-01
3.4998004687936193e-03,9.9650019953120639e-01,1.3637808271699075e+03,1.7105914454694074e-01
3.5147920921148258e-03,9.9648520790788520e-01,1.3637603277974943e+03,1.7070141109105080e-01
3.5297983738384808e-03,9.9647020162616151e-01,1.3637398083813514e+03,1.7034557685389304e-01
3.5448191658586413e-03,9.9645518083414131e-01,1.3637192691239964e+03,1.6999162842999749e-01
3.5598543199261545e-03,9.9644014568007389e-01,1.3636987102281444e+03,1.6963955254153618e-01
3.5749036876501195e-03,9.9642509631234988e-01,1.3636781318967023e+03,1.6928933603683075e-01
3.5899671204993530e-03,9.9641003287950070e-01,1.3636575343327709e+03,1.6894096588888094e-01
3.6050444698038538e-03,9.9639495553019619e-01,1.3636369177396393e+03,1.6859442919391349e-01
3.6201355867562712e-03,9.9637986441324378e-01,1.3636162823207853e+03,1.6824971316995113e-01
3.6352403224133747e-03,9.9636475967758664e-01,1.3635956282798716e+03,1.6790680515540146e-01
3.6503585276975187e-03,9.9634964147230243e-01,1.3635749558207456e+03,1.6756569260766485e-01
3.6654900533981227e-03,9.9633450994660189e-01,1.3635542651474366e+03,1.6722636310176195e-01
3.6806347501731362e-03,9.9631936524982689e-01,1.3635335564641525e+03,1.6688880432897982e-01
3.6957924685505164e-03,9.9630420753144944e-01,1.3635128299752796e+03,1.6655300409553661e-01
3.7109630589297004e-03,9.9628903694107029e-01,1.3634920858853807e+03,1.6621895032126469e-01
3.7261463715830890e-03,9.9627385362841692e-01,1.3634713243991910e+03,1.6588663103831117e-01
3.7413422566575137e-03,9.9625865774334244e-01,1.3634505457216178e+03,1.6555603438985689e-01
3.7565505641757252e-03,9.9624344943582432e-01,1.3634297500577388e+03,1.6522714862885216e-01
3.7717711440378677e-03,9.9622822885596218e-01,1.3634089376127986e+03,1.6489996211677002e-01
3.7870038460229623e-03,9.9621299615397707e-01,1.3633881085922076e+03,1.6457446332237613e-01
3.8022485197903907e-03,9.9619775148020961e-01,1.3633672632015400e+03,1.6425064082051535e-01
3.8175050148813762e-03,9.9618249498511857e-01,1.3633464016465309e+03,1.6392848329091469e-01
3.8327731807204723e-03,9.9616722681927949e-01,1.3633255241330760e+03,1.6360797951700226e-01
3.8480528666170466e-03,9.9615194713338295e-01,1.3633046308672276e+03,1.6328911838474205e-01
3.8633439217667675e-03,9.9613665607823321e-01,1.3632837220551939e+03,1.6297188888148451e-01
3.8786461952530944e-03,9.9612135380474687e-01,1.3632627979033364e+03,1.6265628009483210e-01
3.8939595360487633e-03,9.9610604046395124e-01,1.3632418586181682e+03,1.6234228121152042e-01
3.9092837930172868e-03,9.9609071620698275e-01,1.3632209044063513e+03,1.6202988151631370e-01
3.9246188149144323e-03,9.9607538118508554e-01,1.3631999354746954e+03,1.6171907039091549e-01
3.9399644503897262e-03,9.9606003554961031e-01,1.3631789520301556e+03,1.6140983731289313e-01
3.9553205479879415e-03,9.9604467945201203e-01,1.3631579542798299e+03,1.6110217185461731e-01
3.9706869561505929e-03,9.9602931304384945e-01,1.3631369424309576e+03,1.6079606368221469e-01
3.9860635232174379e-03,9.9601393647678260e-01,1.3631159166909169e+03,1.6049150255453479e-01
4.0014500974279651e-03,9.9599854990257208e-01,1.3630948772672239e+03,1.6018847832213054e-01
4.0168465269228995e-03,9.9598315347307709e-01,1.3630738243675287e+03,1.5988698092625198e-01
4.0322526597456982e-03,9.9596774734025428e-01,1.3630527581996153e+03,1.5958700039785295e-01
4.0476683438440495e-03,9.9595233165615593e-01,1.3630316789713979e+03,1.5928852685661135e-01
4.0630934270713768e-03,9.9593690657292866e-01,1.3630105868909204e+03,1.5899155050996139e-01
4.0785277571883331e-03,9.9592147224281169e-01,1.3629894821663529e+03,1.5869606165213906e-01
4.0939711818643136e-03,9.9590602881813572e-01,1.3629683650059906e+03,1.5840205066323976e-01
4.1094235486789496e-03,9.9589057645132106e-01,1.3629472356182512e+03,1.5810950800828782e-01
4.1248847051236198e-03,9.9587511529487638e-01,1.3629260942116734e+03,1.5781842423631867e-01
4.1403544986029521e-03,9.9585964550139705e-01,1.3629049409949141e+03,1.5752878997947223e-01
4.1558327764363310e-03,9.9584416722356361e-01,1.3628837761767472e+03,1.5724059595209841e-01
4.1713193858594014e-03,9.9582868061414065e-01,1.3628625999660610e+03,1.5695383294987383e-01
4.1868141740255818e-03,9.9581318582597445e-01,1.3628414125718559e+03,1.5666849184893000e-01
4.2023169880075683e-03,9.9579768301199245e-01,1.3628202142032430e+03,1.5638456360499256e-01
4.2178276747988457e-03,9.9578217232520116e-01,1.3627990050694418e+03,1.5610203925253172e-01
4.2333460813151966e-03,9.9576665391868480e-01,1.3627777853797777e+03,1.5582090990392308e-01
4.2488720543962149e-03,9.9575112794560383e-01,1.3627565553436807e+03,1.5554116674861962e-01
4.2644054408068136e-03,9.9573559455919314e-01,1.3627353151706823e+03,1.5526280105233392e-01
4.2799460872387394e-03,9.9572005391276130e-01,1.3627140650704152e+03,1.5498580415623076e-01
4.2954938403120873e-03,9.9570450615968786e-01,1.3626928052526082e+03,1.5471016747612998e-01
4.3110485465768103e-03,9.9568895145342318e-01,1.3626715359270877e+03,1.5443588250171941e-01
4.3266100525142367e-03,9.9567338994748578e-01,1.3626502573037737e+03,1.5416294079577755e-01
4.3421782045385869e-03,9.9565782179546136e-01,1.3626289695926771e+03,1.5389133399340635e-01
4.3577528489984856e-03,9.9564224715100147e-01,1.3626076730038992e+03,1.5362105380127314e-01
4.3733338321784790e-03,9.9562666616782147e-01,1.3625863677476286e+03,1.5335209199686253e-01
4.3889210003005535e-03,9.9561107899969947e-01,1.3625650540341401e+03,1.5308444042773731e-01
4.4045141995256512e-03,9.9559548580047430e-01,1.3625437320737906e+03,1.5281809101080876e-01
4.4201132759551934e-03,9.9557988672404485e-01,1.3625224020770202e+03,1.5255303573161580e-01
4.4357180756325922e-03,9.9556428192436741e-01,1.3625010642543464e+03,1.5228926664361356e-01
4.4513284445447743e-03,9.9554867155545523e-01,1.3624797188163654e+03,1.5202677586747007e-01
4.4669442286237003e-03,9.9553305577137630e-01,1.3624583659737480e+03,1.5176555559037247e-01
4.4825652737478872e-03,9.9551743472625209e-01,1.3624370059372382e+03,1.5150559806534086e-01
4.4981914257439257e-03,9.9550180857425608e-01,1.3624156389176510e+03,1.5124689561055160e-01
4.5138225303880033e-03,9.9548617746961199e-01,1.3623942651258699e+03,1.5098944060866815e-01
4.5294584334074281e-03,9.9547054156659254e-01,1.3623728847728460e+03,1.5073322550618040e-01
4.5450989804821504e-03,9.9545490101951783e-01,1.3623514980695945e+03,1.5047824281275218e-01
4.5607440172462845e-03,9.9543925598275373e-01,1.3623301052271936e+03,1.5022448510057668e-01
4.5763933892896333e-03,9.9542360661071039e-01,1.3623087064567821e+03,1.4997194500373964e-01
4.5920469421592133e-03,9.9540795305784080e-01,1.3622873019695571e+03,1.4972061521759053e-01
4.6077045213607747e-03,9.9539229547863928e-01,1.3622658919767723e+03,1.4947048849812103e-01
4.6233659723603363e-03,9.9537663402763965e-01,1.3622444766897356e+03,1.4922155766135131e-01
4.6390311405856968e-03,9.9536096885941427e-01,1.3622230563198075e+03,1.4897381558272374e-01
4.6546998714279706e-03,9.9534530012857203e-01,1.3622016310783979e+03,1.4872725519650390e-01
4.6703720102431109e-03,9.9532962798975688e-01,1.3621802011769657e+03,1.4848186949518857e-01
4.6860474023534332e-03,9.9531395259764655e-01,1.3621587668270154e+03,1.4823765152892124e-01
4.7017258930491454e-03,9.9529827410695082e-01,1.3621373282400953e+03,1.4799459440491461e-01
4.7174073275898770e-03,9.9528259267241015e-01,1.3621158856277955e+03,1.4775269128687946e-01
4.7330915512061970e-03,9.9526690844879384e-01,1.3620944392017461e+03,1.4751193539446103e-01
4.7487784091011518e-03,9.9525122159089885e-01,1.3620729891736144e+03,1.4727232000268201e-01
4.7644677464517863e-03,9.9523553225354822e-01,1.3620515357551035e+03,1.4703383844139176e-01
4.7801594084106759e-03,9.9521984059158930e-01,1.3620300791579502e+03,1.4679648409472251e-01
4.7958532401074488e-03,9.9520414675989255e-01,1.3620086195939227e+03,1.4656025040055190e-01
4.8115490866503267e-03,9.9518845091334962e-01,1.3619871572748177e+03,1.4632513084997181e-01
4.8272467931276385e-03,9.9517275320687237e-01,1.3619656924124599e+03,1.4609111898676366e-01
4.8429462046093580e-03,9.9515705379539066e-01,1.3619442252186989e+03,1.4585820840687969e-01
4.8586471661486337e-03,9.9514135283385141e-01,1.3619227559054070e+03,1.4562639275793043e-01
4.8743495227833123e-03,9.9512565047721668e-01,1.3619012846844776e+03,1.4539566573867851e-01
4.8900531195374746e-03,9.9510994688046250e-01,1.3618798117678234e+03,1.4516602109853774e-01
4.9057578014229594e-03,9.9509424219857701e-01,1.3618583373673730e+03,1.4493745263707888e-01
4.9214634134408970e-03,9.9507853658655909e-01,1.3618368616950704e+03,1.4470995420354049e-01
4.9371698005832359e-03,9.9506283019941677e-01,1.3618153849628718e+03,1.4448351969634612e-01
4.9528768078342797e-03,9.9504712319216571e-01,1.3617939073827436e+03,1.4425814306262633e-01
4.9685842801722047e-03,9.9503141571982778e-01,1.3617724291666609e+03,1.4403381829774733e-01
4.9842920625706019e-03,9.9501570793742944e-01,1.3617509505266050e+03,1.4381053944484415e-01
4.9999999999999992e-03,9.9500000000000000e-01,1.3617294716745616e+03,1.4358830059435970e-01
5.0157079374293983e-03,9.9498429206257055e-01,1.3617079928225182e+03,1.4336709588358917e-01
5.0314157198277946e-03,9.9496858428017221e-01,1.3616865141824624e+03,1.4314691949622949e-01
5.0471231921657205e-03,9.9495287680783429e-01,1.3616650359663797e+03,1.4292776566193408e-01
5.0628301994167634e-03,9.9493716980058322e-01,1.3616435583862515e+03,1.4270962865587297e-01
5.0785365865591023e-03,9.9492146341344090e-01,1.3616220816540529e+03,1.4249250279829748e-01
5.0942421985770408e-03,9.9490575780142299e-01,1.3616006059817503e+03,1.4227638245411028e-01
5.1099468804625247e-03,9.9489005311953749e-01,1.3615791315812999e+03,1.4206126203244049e-01
5.1256504772166870e-03,9.9487434952278331e-01,1.3615576586646457e+03,1.4184713598622295e-01
5.1413528338513656e-03,9.9485864716614858e-01,1.3615361874437162e+03,1.4163399881178326e-01
5.1570537953906414e-03,9.9484294620460934e-01,1.3615147181304244e+03,1.4142184504842675e-01
5.1727532068723617e-03,9.9482724679312762e-01,1.3614932509366633e+03,1.4121066927803250e-01
5.1884509133496726e-03,9.9481154908665037e-01,1.3614717860743056e+03,1.4100046612465195e-01
5.2041467598925506e-03,9.9479585324010744e-01,1.3614503237552005e+03,1.4079123025411194e-01
5.2198405915893243e-03,9.9478015940841069e-01,1.3614288641911730e+03,1.4058295637362242e-01
5.2355322535482130e-03,9.9476446774645177e-01,1.3614074075940198e+03,1.4037563923138824e-01
5.2512215908988467e-03,9.9474877840910114e-01,1.3613859541755091e+03,1.4016927361622589e-01
5.2669084487938023e-03,9.9473309155120615e-01,1.3613645041473774e+03,1.3996385435718398e-01
5.2825926724101224e-03,9.9471740732758984e-01,1.3613430577213278e+03,1.3975937632316829e-01
5.2982741069508531e-03,9.9470172589304917e-01,1.3613216151090282e+03,1.3955583442257097e-01
5.3139525976465670e-03,9.9468604740235345e-01,1.3613001765221079e+03,1.3935322360290398e-01
5.3296279897568901e-03,9.9467037201024311e-01,1.3612787421721575e+03,1.3915153885043624e-01
5.3453001285720296e-03,9.9465469987142796e-01,1.3612573122707254e+03,1.3895077518983553e-01
5.3609688594143034e-03,9.9463903114058572e-01,1.3612358870293158e+03,1.3875092768381359e-01
5.3766340276396631e-03,9.9462336597236034e-01,1.3612144666593877e+03,1.3855199143277580e-01
5.3922954786392238e-03,9.9460770452136082e-01,1.3611930513723512e+03,1.3835396157447430e-01
5.4079530578407878e-03,9.9459204694215919e-01,1.3611716413795664e+03,1.3815683328366526e-01
5.4236066107103678e-03,9.9457639338928960e-01,1.3611502368923411e+03,1.3796060177176991e-01
5.4392559827537157e-03,9.9456074401724626e-01,1.3611288381219297e+03,1.3776526228653896e-01
5.4549010195178499e-03,9.9454509898048216e-01,1.3611074452795287e+03,1.3757081011172126e-01
5.4705415665925721e-03,9.9452945843340745e-01,1.3610860585762773e+03,1.3737724056673559e-01
5.4861774696119969e-03,9.9451382253038800e-01,1.3610646782232534e+03,1.3718454900634663e-01
5.5018085742560754e-03,9.9449819142574392e-01,1.3610433044314723e+03,1.3699273082034369e-01
5.5174347262521130e-03,9.9448256527374790e-01,1.3610219374118851e+03,1.3680178143322388e-01
5.5330557713762999e-03,9.9446694422862369e-01,1.3610005773753753e+03,1.3661169630387798e-01
5.5486715554552259e-03,9.9445132844454476e-01,1.3609792245327578e+03,1.3642247092528015e-01
5.5642819243674081e-03,9.9443571807563258e-01,1.3609578790947769e+03,1.3623410082418091e-01
5.5798867240448068e-03,9.9442011327595514e-01,1.3609365412721031e+03,1.3604658156080335e-01
5.5954858004743490e-03,9.9440451419952569e-01,1.3609152112753327e+03,1.3585990872854295e-01
5.6110789996994485e-03,9.9438892100030052e-01,1.3608938893149832e+03,1.3567407795367029e-01
5.6266661678215212e-03,9.9437333383217852e-01,1.3608725756014946e+03,1.3548908489503717e-01
5.6422471510015147e-03,9.9435775284899852e-01,1.3608512703452241e+03,1.3530492524378582e-01
5.6578217954614115e-03,9.9434217820453863e-01,1.3608299737564462e+03,1.3512159472306140e-01
5.6733899474857635e-03,9.9432661005251421e-01,1.3608086860453495e+03,1.3493908908772742e-01
5.6889514534231899e-03,9.9431104854657681e-01,1.3607874074220356e+03,1.3475740412408424e-01
5.7045061596879129e-03,9.9429549384031213e-01,1.3607661380965151e+03,1.3457653564959082e-01
5.7200539127612617e-03,9.9427994608723869e-01,1.3607448782787085e+03,1.3439647951258901e-01
5.7355945591931867e-03,9.9426440544080685e-01,1.3607236281784410e+03,1.3421723159203119e-01
5.7511279456037854e-03,9.9424887205439616e-01,1.3607023880054426e+03,1.3403878779721073e-01
5.7666539186848045e-03,9.9423334608131519e-01,1.3606811579693456e+03,1.3386114406749514e-01
5.7821723252011546e-03,9.9421782767479883e-01,1.3606599382796815e+03,1.3368429637206222e-01
5.7976830119924327e-03,9.9420231698800754e-01,1.3606387291458802e+03,1.3350824070963904e-01
5.8131858259744184e-03,9.9418681417402555e-01,1.3606175307772673e+03,1.3333297310824349e-01
5.8286806141405988e-03,9.9417131938585945e-01,1.3605963433830625e+03,1.3315848962492891e-01
5.8441672235636701e-03,9.9415583277643638e-01,1.3605751671723763e+03,1.3298478634553096e-01
5.8596455013970481e-03,9.9414035449860294e-01,1.3605540023542092e+03,1.3281185938441770e-01
5.8751152948763805e-03,9.9412488470512361e-01,1.3605328491374501e+03,1.3263970488424168e-01
5.8905764513210515e-03,9.9410942354867893e-01,1.3605117077308721e+03,1.3246831901569528e-01
5.9060288181356883e-03,9.9409397118186427e-01,1.3604905783431327e+03,1.3229769797726817e-01
5.9214722428116671e-03,9.9407852775718830e-01,1.3604694611827704e+03,1.3212783799500749e-01
5.9369065729286243e-03,9.9406309342707133e-01,1.3604483564582029e+03,1.3195873532228045e-01
5.9523316561559490e-03,9.9404766834384406e-01,1.3604272643777254e+03,1.3179038623953951e-01
5.9677473402543011e-03,9.9403225265974571e-01,1.3604061851495080e+03,1.3162278705409006e-01
5.9831534730771007e-03,9.9401684652692290e-01,1.3603851189815946e+03,1.3145593409986020e-01
5.9985499025720359e-03,9.9400145009742802e-01,1.3603640660818996e+03,1.3128982373717346e-01
6.0139364767825632e-03,9.9398606352321739e-01,1.3603430266582063e+03,1.3112445235252329e-01
6.0293130438494073e-03,9.9397068695615054e-01,1.3603220009181659e+03,1.3095981635835030e-01
6.0446794520120596e-03,9.9395532054798796e-01,1.3603009890692936e+03,1.3079591219282166e-01
6.0600355496102740e-03,9.9393996445038968e-01,1.3602799913189676e+03,1.3063273631961272e-01
6.0753811850855679e-03,9.9392461881491445e-01,1.3602590078744279e+03,1.3047028522769108e-01
6.0907162069827126e-03,9.9390928379301724e-01,1.3602380389427719e+03,1.3030855543110262e-01
6.1060404639512360e-03,9.9389395953604875e-01,1.3602170847309551e+03,1.3014754346875998e-01
6.1213538047469067e-03,9.9387864619525312e-01,1.3601961454457869e+03,1.2998724590423305e-01
6.1366560782332323e-03,9.9386334392176678e-01,1.3601752212939293e+03,1.2982765932554169e-01
6.1519471333829536e-03,9.9384805286661704e-01,1.3601543124818957e+03,1.2966878034495044e-01
6.1672268192795275e-03,9.9383277318072050e-01,1.3601334192160473e+03,1.2951060559876573e-01
6.1824949851186240e-03,9.9381750501488142e-01,1.3601125417025924e+03,1.2935313174713442e-01
