alpha_g,alpha_l,rho_wood,c_wood
5.4405936140191069e-03,9.9455940638598084e-01,1.3611270090604016e+03,1.3774860438151541e+02
5.6741276310429689e-03,9.9432587236895698e-01,1.3608076773453815e+03,1.3493045969733220e+02
5.9125404448597263e-03,9.9408745955514033e-01,1.3604816744200307e+03,1.3222599705602306e+02
6.1558297024311148e-03,9.9384417029756889e-01,1.3601490035018651e+03,1.2962853275335178e+02
6.4039930025904246e-03,9.9359600699740958e-01,1.3598096678742131e+03,1.2713189446058092e+02
6.6570278960659812e-03,9.9334297210393396e-01,1.3594636708861808e+03,1.2473037346932284e+02
6.9149318855055708e-03,9.9308506811449448e-01,1.3591110159526179e+03,1.2241868216427639e+02
7.1777024255009758e-03,9.9282229757449902e-01,1.3587517065540867e+03,1.2019191607134144e+02
7.4453369226130661e-03,9.9255466307738693e-01,1.3583857462368258e+03,1.1804551991958239e+02
7.7178327353973342e-03,9.9228216726460272e-01,1.3580131386127159e+03,1.1597525723255032e+02
7.9951871744301517e-03,9.9200481282556985e-01,1.3576338873592435e+03,1.1397718302987269e+02
8.2773975023351376e-03,9.9172260249766486e-01,1.3572479962194659e+03,1.1204761927570635e+02
8.5644609338104138e-03,9.9143553906618953e-01,1.3568554690019721e+03,1.1018313275816928e+02
8.8563746356556394e-03,9.9114362536434442e-01,1.3564563095808483e+03,1.0838051512455746e+02
9.1531357268005431e-03,9.9084686427319946e-01,1.3560505218956357e+03,1.0663676483203855e+02
9.4547412783329565e-03,9.9054525872166699e-01,1.3556381099512957e+03,1.0494907080355519e+02
9.7611883135277910e-03,9.9023881168647221e-01,1.3552190778181675e+03,1.0331479760453244e+02
1.0072473807876570e-02,9.8992752619212343e-01,1.3547934296319290e+03,1.0173147197835810e+02
1.0388594689117125e-02,9.8961140531088287e-01,1.3543611695935560e+03,1.0019677059797422e+02
1.0709547837263966e-02,9.8929045216273603e-01,1.3539223019692806e+03,9.8708508907725232e+01
1.1035330084639083e-02,9.8896466991536092e-01,1.3534768310905495e+03,9.7264630944232707e+01
1.1365938215903260e-02,9.8863406178409674e-01,1.3530247613539793e+03,9.5863200037811538e+01
1.1701368968087711e-02,9.8829863103191229e-01,1.3525660972213168e+03,9.4502390307070982e+01
1.2041619030626283e-02,9.8795838096937372e-01,1.3521008432193914e+03,9.3180478869082592e+01
1.2386685045388313e-02,9.8761331495461169e-01,1.3516290039400724e+03,9.1895838696033621e+01
1.2736563606711437e-02,9.8726343639328862e-01,1.3511505840402231e+03,9.0646932056786810e+01
1.3091251261435566e-02,9.8690874873856438e-01,1.3506655882416546e+03,8.9432304488356436e+01
1.3450744508936741e-02,9.8654925549106331e-01,1.3501740213310795e+03,8.8250579248135139e+01
1.3815039801161721e-02,9.8618496019883828e-01,1.3496758881600651e+03,8.7100452202831349e+01
1.4184133542663013e-02,9.8581586645733699e-01,1.3491711936449844e+03,8.5980687114621574e+01
1.4558022090634504e-02,9.8544197790936550e-01,1.3486599427669685e+03,8.4890111289040817e+01
1.4936701754947102e-02,9.8506329824505290e-01,1.3481421405718575e+03,8.3827611552705022e+01
1.5320168798185374e-02,9.8467983120181457e-01,1.3476177921701496e+03,8.2792130532123892e+01
1.5708419435684462e-02,9.8429158056431554e-01,1.3470869027369520e+03,8.1782663207688287e+01
1.6101449835567272e-02,9.8389855016443273e-01,1.3465494775119296e+03,8.0798253719427876e+01
1.6499256118782502e-02,9.8350074388121755e-01,1.3460055217992517e+03,7.9837992403376674e+01
1.6901834359142609e-02,9.8309816564085739e-01,1.3454550409675417e+03,7.8901013039392026e+01
1.7309180583363060e-02,9.8269081941663694e-01,1.3448980404498229e+03,7.7986490293061408e+01
1.7721290771100962e-02,9.8227870922889904e-01,1.3443345257434664e+03,7.7093637335946681e+01
1.8138160854995145e-02,9.8186183914500491e-01,1.3437645024101344e+03,7.6221703629847880e+01
1.8559786720706184e-02,9.8144021327929387e-01,1.3431879760757270e+03,7.5369972862073183e+01
1.8986164206957035e-02,9.8101383579304291e-01,1.3426049524303260e+03,7.4537761019861591e+01
1.9417289105574054e-02,9.8058271089442595e-01,1.3420154372281402e+03,7.3724414593156993e+01
1.9853157161528467e-02,9.8014684283847153e-01,1.3414194362874459e+03,7.2929308895877327e+01
2.0293764072978560e-02,9.7970623592702144e-01,1.3408169554905326e+03,7.2151846496676683e+01
2.0739105491312082e-02,9.7926089450868792e-01,1.3402080007836416e+03,7.1391455750971900e+01
2.1189177021188887e-02,9.7881082297881106e-01,1.3395925781769106e+03,7.0647589426701686e+01
2.1643974220584783e-02,9.7835602577941527e-01,1.3389706937443125e+03,6.9919723416918060e+01
2.2103492600834940e-02,9.7789650739916500e-01,1.3383423536235948e+03,6.9207355532887519e+01
2.2567727626678524e-02,9.7743227237332153e-01,1.3377075640162216e+03,6.8510004371893714e+01
2.3036674716303218e-02,9.7696332528369678e-01,1.3370663311873095e+03,6.7827208254412341e+01
2.3510329241390571e-02,9.7648967075860948e-01,1.3364186614655678e+03,6.7158524225753823e+01
2.3988686527161684e-02,9.7601131347283832e-01,1.3357645612432352e+03,6.6503527117664419e+01
2.4471741852423234e-02,9.7552825814757682e-01,1.3351040369760171e+03,6.5861808665731445e+01
2.4959490449614152e-02,9.7504050955038579e-01,1.3344370951830208e+03,6.5232976678763166e+01
